,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance,home_pk,away_pk
3,1994/04/13,9,4,19:03,神戸ユ,Ｖ川崎,2,0,Ｇ大阪,,42161,,
4,1994/04/13,9,5,19:03,国立,横浜Ｆ,1,0,鹿島,,50187,,
5,1994/04/13,9,6,19:03,広島ビ,広島,1,3,清水,,10308,,
0,1994/04/16,10,1,14:00,福井,市原,1,3,広島,,14846,,
1,1994/04/16,10,2,14:00,磐田,磐田,1,2,平塚,,13929,,
2,1994/04/16,10,3,15:01,カシマ,鹿島,4,2,浦和,,14057,,
3,1994/04/16,10,4,15:02,万博,Ｇ大阪,2,3,横浜M,,21307,,
4,1994/04/16,10,5,15:03,国立,Ｖ川崎,0,1,横浜Ｆ,,51770,,
5,1994/04/16,10,6,15:04,日本平,清水,2,1,名古屋,,9652,,
0,1994/04/23,11,1,15:01,三ツ沢,横浜Ｆ,1,0,横浜M,,14326,,
1,1994/04/23,11,2,15:01,平塚,平塚,1,3,鹿島,,14861,,
2,1994/04/23,11,3,15:02,万博,Ｇ大阪,0,2,清水,,19303,,
3,1994/04/23,11,4,15:03,瑞穂球,名古屋,0,1,市原,,11716,,
4,1994/04/23,11,5,15:05,広島ビ,広島,3,0,磐田,,23144,,
5,1994/04/23,11,6,19:03,国立,浦和,0,1,Ｖ川崎,,52028,,
0,1994/04/27,12,1,19:00,国立,名古屋,1,0,磐田,,49028,,
1,1994/04/27,12,2,19:01,草薙陸,清水,2,1,浦和,,17789,,
2,1994/04/27,12,3,19:02,市原,市原,2,1,横浜Ｆ,,9734,,
3,1994/04/27,12,4,19:02,三ツ沢,横浜M,1,2,平塚,,13472,,
4,1994/04/27,12,5,19:02,博多陸,広島,3,3,Ｇ大阪,,15129,5,4
5,1994/04/27,12,6,19:03,等々力,Ｖ川崎,3,0,鹿島,,10575,,
0,1994/04/30,13,1,15:01,カシマ,鹿島,2,1,横浜M,,15061,,
1,1994/04/30,13,2,15:01,駒場,浦和,0,2,市原,,9393,,
2,1994/04/30,13,3,15:02,長崎,横浜Ｆ,1,2,広島,,15958,,
3,1994/04/30,13,4,15:03,平塚,平塚,0,1,清水,,15540,,
4,1994/04/30,13,5,15:03,神戸ユ,Ｇ大阪,3,0,名古屋,,36280,,
5,1994/04/30,13,6,19:03,磐田,磐田,2,0,Ｖ川崎,,14906,,
0,1994/05/04,14,1,14:02,福井,名古屋,0,2,横浜Ｆ,,15206,,
1,1994/05/04,14,2,14:05,国立,清水,3,3,鹿島,,52218,3,4
2,1994/05/04,14,3,18:33,広島ビ,広島,1,0,浦和,,21077,,
3,1994/05/04,14,4,19:02,市原,市原,1,2,平塚,,9826,,
4,1994/05/04,14,5,19:03,西京極,Ｇ大阪,3,0,磐田,,12568,,
5,1994/05/04,14,6,19:04,三ツ沢,横浜M,1,2,Ｖ川崎,,13343,,
0,1994/05/07,15,1,15:01,三ツ沢,横浜Ｆ,3,2,Ｇ大阪,,13904,,
1,1994/05/07,15,2,18:30,カシマ,鹿島,1,2,市原,,15843,,
2,1994/05/07,15,3,18:30,国立,浦和,0,1,名古屋,,52440,,
3,1994/05/07,15,4,18:34,平塚,平塚,1,1,広島,,14785,5,4
4,1994/05/07,15,5,19:00,磐田,磐田,2,0,横浜M,,14478,,
5,1994/05/07,15,6,19:03,等々力,Ｖ川崎,2,0,清水,,10595,,
0,1994/05/14,16,1,15:01,広島ビ,広島,2,0,鹿島,,35108,,
1,1994/05/14,16,2,18:33,鴨池,横浜Ｆ,1,2,磐田,,15502,,
2,1994/05/14,16,3,19:01,神戸ユ,Ｇ大阪,1,2,浦和,,37292,,
3,1994/05/14,16,4,19:02,日本平,清水,0,3,横浜M,,10005,,
4,1994/05/14,16,5,19:02,瑞穂球,名古屋,2,1,平塚,,11488,,
5,1994/05/14,16,6,19:05,国立,市原,0,1,Ｖ川崎,,52228,,
0,1994/05/18,17,1,19:02,国立,浦和,3,0,横浜Ｆ,,48466,,
1,1994/05/18,17,2,19:02,等々力,Ｖ川崎,1,4,広島,,10571,,
2,1994/05/18,17,3,19:03,カシマ,鹿島,2,1,名古屋,,15578,,
3,1994/05/18,17,4,19:03,博多陸,横浜M,1,2,市原,,25488,,
4,1994/05/18,17,5,19:03,平塚,平塚,1,2,Ｇ大阪,,14321,,
5,1994/05/18,17,6,19:03,磐田,磐田,4,2,清水,,14756,,
0,1994/06/01,18,1,19:00,駒場,浦和,0,1,磐田,,9408,,
1,1994/06/01,18,2,19:03,国立,市原,1,2,清水,,54656,,
2,1994/06/01,18,3,19:03,長崎,横浜Ｆ,3,0,平塚,,14051,,
3,1994/06/01,18,4,19:04,等々力,Ｖ川崎,2,1,名古屋,,10591,,
4,1994/06/01,18,5,19:05,万博,Ｇ大阪,1,3,鹿島,,21624,,
5,1994/06/01,18,6,19:05,広島ビ,広島,1,2,横浜M,,13416,,
0,1994/06/04,19,1,14:01,瑞穂球,名古屋,2,0,横浜M,,12190,,
1,1994/06/04,19,2,15:00,平塚,平塚,2,4,浦和,,14832,,
2,1994/06/04,19,3,18:32,カシマ,鹿島,3,2,横浜Ｆ,,16270,,
3,1994/06/04,19,4,19:00,磐田,磐田,2,3,市原,,14764,,
4,1994/06/04,19,5,19:01,日本平,清水,1,2,広島,,10361,,
5,1994/06/04,19,6,19:05,万博,Ｇ大阪,1,3,Ｖ川崎,,21829,,
0,1994/06/08,20,1,19:00,栃木,横浜M,3,2,Ｇ大阪,,17022,,
1,1994/06/08,20,2,19:00,平塚,平塚,2,1,磐田,,15129,,
2,1994/06/08,20,3,19:01,駒場,浦和,1,4,鹿島,,9674,,
3,1994/06/08,20,4,19:02,国立,横浜Ｆ,1,1,Ｖ川崎,,55014,5,3
4,1994/06/08,20,5,19:03,神戸ユ,名古屋,0,1,清水,,38239,,
5,1994/06/08,20,6,19:04,広島ス,広島,4,2,市原,,13054,,
0,1994/06/11,21,1,15:04,日本平,清水,4,1,Ｇ大阪,,10351,,
1,1994/06/11,21,2,18:31,市原,市原,0,1,名古屋,,10516,,
2,1994/06/11,21,3,18:32,カシマ,鹿島,4,0,平塚,,16058,,
3,1994/06/11,21,4,18:59,平塚,横浜M,2,1,横浜Ｆ,,16671,,
4,1994/06/11,21,5,19:03,等々力,Ｖ川崎,3,0,浦和,,10597,,
5,1994/06/11,21,6,19:05,磐田,磐田,1,2,広島,,14773,,
0,1994/06/15,22,1,19:00,万博,Ｇ大阪,3,0,市原,,21440,,
1,1994/06/15,22,2,19:02,駒場,浦和,2,1,横浜M,,9822,,
2,1994/06/15,22,3,19:02,平塚,平塚,0,3,Ｖ川崎,,15448,,
3,1994/06/15,22,4,19:03,富山,横浜Ｆ,1,2,清水,,26972,,
4,1994/06/15,22,5,19:03,磐田,磐田,1,2,鹿島,,14634,,
5,1994/06/15,22,6,19:03,名古屋港,名古屋,1,0,広島,,16547,,
