,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance,home_pk_score,away_pk_score,home_score_ex,away_score_ex
1,1995/04/05,6,2,19:01,瑞穂陸,名古屋,1,4,柏,試合終了,,18819,,,,
2,1995/04/05,6,3,19:02,大宮,浦和,0,1,平塚,試合終了,,9630,,,,
3,1995/04/05,6,4,19:02,磐田,磐田,1,2,横浜M,試合終了,,17813,,,,
4,1995/04/05,6,5,19:03,三ツ沢,横浜Ｆ,0,1,鹿島,試合終了,,13753,,,,
5,1995/04/05,6,6,19:04,市原,市原,3,1,清水,試合終了,,13228,,,,
6,1995/04/05,6,7,19:04,国立,Ｖ川崎,0,1,Ｃ大阪,試合終了,,44650,,,,
0,1995/04/08,7,1,14:59,柏,柏,2,4,Ｇ大阪,試合終了,,14450,,,,
1,1995/04/08,7,2,15:00,三ツ沢,横浜M,2,0,名古屋,試合終了,,13254,,,,
2,1995/04/08,7,3,15:02,平塚,平塚,2,0,磐田,試合終了,,14630,,,,
3,1995/04/08,7,4,15:02,広島ビ,広島,1,2,市原,試合終了,,11266,,,,
4,1995/04/08,7,5,15:03,長居２,Ｃ大阪,0,1,浦和,試合終了,,11763,,,0,1
5,1995/04/08,7,6,15:04,日本平,清水,2,3,横浜Ｆ,試合終了,,18409,,,,
6,1995/04/08,7,7,19:31,カシマ,鹿島,1,0,Ｖ川崎,試合終了,,15825,,,,
0,1995/04/12,8,1,19:00,日本平,清水,1,3,Ｇ大阪,試合終了,,18036,,,,
1,1995/04/12,8,2,19:00,長居２,Ｃ大阪,1,2,平塚,試合終了,,9346,,,,
2,1995/04/12,8,3,19:01,カシマ,鹿島,3,1,市原,試合終了,,15195,,,,
3,1995/04/12,8,4,19:01,広島ス,広島,4,0,名古屋,試合終了,,7012,,,,
4,1995/04/12,8,5,19:02,国立,横浜M,2,3,浦和,試合終了,,48710,,,0,1
5,1995/04/12,8,6,19:03,柏,柏,0,1,磐田,試合終了,,13789,,,0,1
6,1995/04/12,8,7,19:04,等々力,Ｖ川崎,4,1,横浜Ｆ,試合終了,,14940,,,,
0,1995/04/15,9,1,14:59,大宮,浦和,4,0,柏,試合終了,,9759,,,,
1,1995/04/15,9,2,15:00,三ツ沢,横浜Ｆ,2,3,Ｃ大阪,試合終了,,12257,,,,
2,1995/04/15,9,3,15:03,万博,Ｇ大阪,1,3,鹿島,試合終了,,17769,,,,
3,1995/04/15,9,4,15:04,市原,市原,1,0,Ｖ川崎,試合終了,,13512,,,1,0
4,1995/04/15,9,5,15:05,瑞穂陸,名古屋,2,0,清水,試合終了,,20548,,,,
5,1995/04/15,9,6,19:01,磐田,磐田,1,0,広島,試合終了,,18542,,,,
6,1995/04/15,9,7,19:03,国立,平塚,0,2,横浜M,試合終了,,44152,,,,
0,1995/04/22,10,1,14:02,鴨池,横浜Ｆ,0,3,市原,試合終了,,10558,,,,
1,1995/04/22,10,2,15:01,柏,柏,1,2,平塚,試合終了,,13413,,,0,1
2,1995/04/22,10,3,15:03,広島ビ,広島,1,1,浦和,試合終了,,12387,4,2,0,0
3,1995/04/22,10,4,15:04,カシマ,鹿島,4,0,名古屋,試合終了,,15273,,,,
4,1995/04/22,10,5,15:04,長居２,Ｃ大阪,4,0,横浜M,試合終了,,12393,,,,
5,1995/04/22,10,6,16:04,日本平,清水,2,3,磐田,試合終了,,18432,,,0,1
6,1995/04/22,10,7,19:04,等々力,Ｖ川崎,1,0,Ｇ大阪,試合終了,,12713,,,,
0,1995/04/26,11,1,19:00,磐田,磐田,0,1,鹿島,試合終了,,17357,,,0,1
1,1995/04/26,11,2,19:01,国立,横浜M,1,0,柏,試合終了,,51725,,,,
2,1995/04/26,11,3,19:03,市原,市原,3,4,Ｃ大阪,試合終了,,11757,,,0,1
3,1995/04/26,11,4,19:03,平塚,平塚,2,3,広島,試合終了,,11337,,,,
4,1995/04/26,11,5,19:03,瑞穂陸,名古屋,4,3,Ｖ川崎,試合終了,,21557,,,1,0
5,1995/04/26,11,6,19:03,万博,Ｇ大阪,3,2,横浜Ｆ,試合終了,,12236,,,1,0
6,1995/04/26,11,7,19:04,大宮,浦和,2,3,清水,試合終了,,9739,,,,
0,1995/04/29,12,1,14:03,福井,市原,2,2,Ｇ大阪,試合終了,,9495,4,3,0,0
1,1995/04/29,12,2,15:00,三ツ沢,横浜Ｆ,4,3,名古屋,試合終了,,13381,,,,
2,1995/04/29,12,3,15:00,長居２,Ｃ大阪,1,2,柏,試合終了,,13109,,,,
3,1995/04/29,12,4,15:01,カシマ,鹿島,1,0,浦和,試合終了,,15962,,,1,0
4,1995/04/29,12,5,15:03,等々力,Ｖ川崎,3,2,磐田,試合終了,,14201,,,1,0
5,1995/04/29,12,6,15:03,日本平,清水,1,4,平塚,試合終了,,18322,,,,
6,1995/04/29,12,7,17:01,大分,広島,0,1,横浜M,試合終了,,10237,,,,
0,1995/05/03,13,1,13:59,磐田,磐田,2,1,横浜Ｆ,試合終了,,18230,,,1,0
1,1995/05/03,13,2,15:00,平塚,平塚,7,0,鹿島,試合終了,,15709,,,,
2,1995/05/03,13,3,15:03,三ツ沢,横浜M,2,0,清水,試合終了,,13897,,,,
3,1995/05/03,13,4,15:03,長良川,名古屋,2,2,市原,試合終了,,20293,4,3,0,0
4,1995/05/03,13,5,15:05,長居２,Ｃ大阪,1,0,Ｇ大阪,試合終了,,13057,,,,
5,1995/05/03,13,6,19:03,国立,浦和,2,2,Ｖ川崎,試合終了,,56652,4,3,0,0
6,1995/05/03,13,7,19:04,新潟,柏,1,2,広島,試合終了,,14723,,,,
0,1995/05/06,14,1,14:04,水前寺,横浜Ｆ,1,5,平塚,試合終了,,11608,,,,
1,1995/05/06,14,2,15:02,瑞穂陸,名古屋,6,0,Ｃ大阪,試合終了,,20775,,,,
2,1995/05/06,14,3,15:02,万博,Ｇ大阪,5,1,磐田,試合終了,,17815,,,,
3,1995/05/06,14,4,15:03,国立,市原,0,1,浦和,試合終了,,52149,,,,
4,1995/05/06,14,5,16:04,カシマ,鹿島,4,0,柏,試合終了,,15816,,,,
5,1995/05/06,14,6,16:05,日本平,清水,1,0,広島,試合終了,,18511,,,,
6,1995/05/06,14,7,19:04,等々力,Ｖ川崎,2,3,横浜M,試合終了,,14789,,,,
0,1995/05/10,15,1,18:59,磐田,磐田,1,0,名古屋,試合終了,,14291,,,,
1,1995/05/10,15,2,19:01,平塚,平塚,3,4,市原,試合終了,,11824,,,0,1
2,1995/05/10,15,3,19:02,大宮,浦和,4,2,Ｇ大阪,試合終了,,9589,,,,
3,1995/05/10,15,4,19:03,国立,柏,0,1,Ｖ川崎,試合終了,,46294,,,,
4,1995/05/10,15,5,19:03,三ツ沢,横浜M,0,0,横浜Ｆ,試合終了,,13817,4,5,0,0
5,1995/05/10,15,6,19:03,長居２,Ｃ大阪,1,1,清水,試合終了,,11497,2,3,0,0
6,1995/05/10,15,7,19:04,広島ビ,広島,3,0,鹿島,試合終了,,13143,,,,
0,1995/05/13,16,1,13:04,秋田,市原,2,1,横浜M,試合終了,,15807,,,,
1,1995/05/13,16,2,14:00,磐田,磐田,3,1,Ｃ大阪,試合終了,,18041,,,,
2,1995/05/13,16,3,14:03,長崎,横浜Ｆ,0,1,柏,試合終了,,11994,,,,
3,1995/05/13,16,4,16:03,国立,名古屋,2,2,浦和,試合終了,,36770,7,6,0,0
4,1995/05/13,16,5,16:03,西京極,Ｇ大阪,2,4,平塚,試合終了,,15119,,,,
5,1995/05/13,16,6,16:05,カシマ,鹿島,0,1,清水,試合終了,,15813,,,,
6,1995/05/13,16,7,19:04,等々力,Ｖ川崎,3,1,広島,試合終了,,13119,,,,
0,1995/06/17,17,1,18:31,広島ビ,広島,1,2,横浜Ｆ,試合終了,,15284,,,,
1,1995/06/17,17,2,18:32,新潟,浦和,2,1,磐田,試合終了,,14122,,,,
2,1995/06/17,17,3,18:33,平塚,平塚,3,4,名古屋,試合終了,,14163,,,0,1
3,1995/06/17,17,4,19:03,柏,柏,0,3,市原,試合終了,,13314,,,,
4,1995/06/17,17,5,19:03,三ツ沢,横浜M,3,1,Ｇ大阪,試合終了,,13145,,,,
5,1995/06/17,17,6,19:04,日本平,清水,0,4,Ｖ川崎,試合終了,,18776,,,,
6,1995/06/17,17,7,19:05,長居２,Ｃ大阪,0,0,鹿島,試合終了,,13748,2,4,0,0
0,1995/06/21,18,1,19:00,柏,柏,0,1,名古屋,試合終了,,11388,,,,
1,1995/06/21,18,2,19:00,三ツ沢,横浜M,3,2,磐田,試合終了,,13505,,,,
2,1995/06/21,18,3,19:00,広島ス,広島,1,0,Ｇ大阪,試合終了,,8667,,,,
3,1995/06/21,18,4,19:03,平塚,平塚,3,1,浦和,試合終了,,13673,,,,
4,1995/06/21,18,5,19:03,日本平,清水,1,1,市原,試合終了,,18545,6,5,0,0
5,1995/06/21,18,6,19:04,カシマ,鹿島,2,3,横浜Ｆ,試合終了,,15263,,,,
6,1995/06/21,18,7,19:04,長居２,Ｃ大阪,3,6,Ｖ川崎,試合終了,,13703,,,,
0,1995/06/24,19,1,14:03,福井,磐田,4,1,平塚,試合終了,,10554,,,,
1,1995/06/24,19,2,16:00,神戸ユ,Ｇ大阪,1,3,柏,試合終了,,14811,,,,
2,1995/06/24,19,3,18:33,大宮,浦和,2,0,Ｃ大阪,試合終了,,9912,,,,
3,1995/06/24,19,4,18:33,市原,市原,3,0,広島,試合終了,,14276,,,,
4,1995/06/24,19,5,19:03,長良川,名古屋,3,2,横浜M,試合終了,,24071,,,,
5,1995/06/24,19,6,19:30,等々力,Ｖ川崎,3,1,鹿島,試合終了,,13602,,,,
6,1995/06/24,19,7,19:30,三ツ沢,横浜Ｆ,6,1,清水,試合終了,,13789,,,,
0,1995/06/28,20,1,19:00,瑞穂陸,名古屋,2,1,広島,試合終了,,19616,,,1,0
1,1995/06/28,20,2,19:00,万博,Ｇ大阪,4,5,清水,試合終了,,15752,,,0,1
2,1995/06/28,20,3,19:01,磐田,磐田,3,2,柏,試合終了,,17218,,,,
3,1995/06/28,20,4,19:02,大宮,浦和,2,1,横浜M,試合終了,,9924,,,1,0
4,1995/06/28,20,5,19:02,富山,横浜Ｆ,0,1,Ｖ川崎,試合終了,,24521,,,,
5,1995/06/28,20,6,19:03,市原,市原,2,1,鹿島,試合終了,,14065,,,,
6,1995/06/28,20,7,19:03,平塚,平塚,1,5,Ｃ大阪,試合終了,,11905,,,,
0,1995/07/01,21,1,18:33,広島ビ,広島,3,1,磐田,試合終了,,16211,,,,
1,1995/07/01,21,2,19:00,柏,柏,1,2,浦和,試合終了,,12329,,,,
2,1995/07/01,21,3,19:00,三ツ沢,横浜M,0,3,平塚,試合終了,,12767,,,,
3,1995/07/01,21,4,19:01,日本平,清水,1,2,名古屋,試合終了,,18917,,,,
4,1995/07/01,21,5,19:01,長居２,Ｃ大阪,5,3,横浜Ｆ,試合終了,,13242,,,,
5,1995/07/01,21,6,19:02,金沢,鹿島,2,1,Ｇ大阪,試合終了,,18746,,,,
6,1995/07/01,21,7,19:04,等々力,Ｖ川崎,2,2,市原,試合終了,,12696,3,2,0,0
0,1995/07/08,22,1,18:30,瑞穂陸,名古屋,2,0,鹿島,試合終了,,21794,,,,
1,1995/07/08,22,2,18:31,愛媛陸,平塚,3,2,柏,試合終了,,11560,,,,
2,1995/07/08,22,3,18:33,大宮,浦和,3,2,広島,試合終了,,9168,,,1,0
3,1995/07/08,22,4,18:33,市原,市原,3,2,横浜Ｆ,試合終了,,13683,,,1,0
4,1995/07/08,22,5,19:00,三ツ沢,横浜M,1,0,Ｃ大阪,試合終了,,11469,,,,
5,1995/07/08,22,6,19:00,万博,Ｇ大阪,0,1,Ｖ川崎,試合終了,,19486,,,,
6,1995/07/08,22,7,19:01,磐田,磐田,2,1,清水,試合終了,,19069,,,,
0,1995/07/12,23,1,19:01,等々力,Ｖ川崎,2,1,名古屋,試合終了,,12035,,,1,0
1,1995/07/12,23,2,19:01,長居２,Ｃ大阪,1,0,市原,試合終了,,9699,,,,
2,1995/07/12,23,3,19:02,日本平,清水,2,3,浦和,試合終了,,18643,,,0,1
3,1995/07/12,23,4,19:03,柏,柏,2,2,横浜M,試合終了,,11597,5,6,0,0
4,1995/07/12,23,5,19:03,鴨池,横浜Ｆ,1,4,Ｇ大阪,試合終了,,10148,,,,
5,1995/07/12,23,6,19:03,広島ス,広島,1,0,平塚,試合終了,,8174,,,,
6,1995/07/12,23,7,19:05,カシマ,鹿島,1,2,磐田,試合終了,,15401,,,,
0,1995/07/15,24,1,15:00,札幌,横浜M,3,0,広島,試合終了,,14905,,,,
1,1995/07/15,24,2,18:32,瑞穂球,名古屋,2,1,横浜Ｆ,試合終了,,11139,,,,
2,1995/07/15,24,3,18:33,大宮,浦和,2,1,鹿島,試合終了,,10019,,,,
3,1995/07/15,24,4,18:33,平塚,平塚,4,0,清水,試合終了,,15449,,,,
4,1995/07/15,24,5,19:00,万博,Ｇ大阪,0,5,市原,試合終了,,17883,,,,
5,1995/07/15,24,6,19:02,柏,柏,1,2,Ｃ大阪,試合終了,,12708,,,0,1
6,1995/07/15,24,7,19:03,磐田,磐田,0,1,Ｖ川崎,試合終了,,18961,,,,
0,1995/07/19,25,1,19:00,等々力,Ｖ川崎,2,1,浦和,試合終了,,12761,,,1,0
1,1995/07/19,25,2,19:00,万博,Ｇ大阪,1,0,Ｃ大阪,試合終了,,17565,,,,
2,1995/07/19,25,3,19:00,広島ス,広島,1,0,柏,試合終了,,8308,,,1,0
3,1995/07/19,25,4,19:03,カシマ,鹿島,2,1,平塚,試合終了,,15687,,,,
4,1995/07/19,25,5,19:03,市原,市原,0,5,名古屋,試合終了,,13865,,,,
5,1995/07/19,25,6,19:04,三ツ沢,横浜Ｆ,2,1,磐田,試合終了,,12900,,,1,0
6,1995/07/19,25,7,19:06,日本平,清水,2,1,横浜M,試合終了,,21047,,,,
0,1995/07/22,26,1,19:00,柏,柏,3,1,清水,試合終了,,13416,,,,
1,1995/07/22,26,2,19:00,磐田,磐田,3,0,市原,試合終了,,17703,,,,
2,1995/07/22,26,3,19:00,長居２,Ｃ大阪,3,1,広島,試合終了,,10394,,,,
3,1995/07/22,26,4,19:01,瑞穂陸,名古屋,3,0,Ｇ大阪,試合終了,,21816,,,,
4,1995/07/22,26,5,19:02,大宮,浦和,2,2,横浜Ｆ,試合終了,,10354,5,3,0,0
5,1995/07/22,26,6,19:03,三ツ沢,横浜M,1,0,鹿島,試合終了,,14127,,,,
6,1995/07/22,26,7,19:03,平塚,平塚,2,3,Ｖ川崎,試合終了,,16082,,,,
