,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance,home_score_ex,away_score_ex
3,1999/09/12,25,4,13:03,仙台,仙台,1,2,大分,試合終了,仙台放送,5964,0,1
4,1999/09/12,25,5,14:00,大宮,大宮,1,2,山形,試合終了,,1918,,
0,1999/09/15,26,1,13:01,西が丘,Ｆ東京,1,0,大宮,試合終了,東京メトロポリタンテレビ（録）,3086,,
1,1999/09/15,26,2,14:04,札幌,札幌,4,0,甲府,試合終了,北海道放送,15193,,
2,1999/09/15,26,3,16:02,大分,大分,0,1,新潟,試合終了,大分放送,3753,,
3,1999/09/15,26,4,18:00,鳥栖,鳥栖,2,1,川崎Ｆ,試合終了,,4316,,
4,1999/09/15,26,5,19:01,山形県,山形,0,0,仙台,試合終了,,1812,0,0
0,1999/09/18,27,1,14:00,新潟,新潟,1,3,山形,試合終了,ＮＨＫ新潟放送局,2118,,
1,1999/09/19,27,2,14:01,韮崎中央,甲府,1,2,川崎Ｆ,試合終了,,1360,,
2,1999/09/19,27,3,14:03,仙台,仙台,1,3,Ｆ東京,試合終了,東北放送,5202,,
3,1999/09/19,27,4,18:00,鳥栖,鳥栖,2,3,大分,試合終了,,3018,,
4,1999/09/19,27,5,18:16,大宮,大宮,1,0,札幌,試合終了,テレビ埼玉,5042,,
0,1999/09/25,28,1,13:02,駒沢,Ｆ東京,4,2,大分,試合終了,東京メトロポリタンテレビ（録）,4186,,
1,1999/09/26,28,2,12:35,札幌,札幌,1,2,新潟,試合終了,北海道文化放送,13216,,
2,1999/09/26,28,3,13:00,小瀬,甲府,0,1,大宮,試合終了,,1413,,
3,1999/09/26,28,4,14:00,山形県,山形,2,1,鳥栖,試合終了,,3091,,
4,1999/09/26,28,5,18:00,等々力,川崎Ｆ,3,1,仙台,試合終了,,4265,,
0,1999/10/02,29,1,14:01,新潟,新潟,1,4,川崎Ｆ,試合終了,テレビ新潟,3643,,
1,1999/10/02,29,2,18:00,大分,大分,2,0,札幌,試合終了,テレビ大分（録）,3933,,
