,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,leg,match_number
0,2006/04/26,-9,1,19:00,駒場,大宮,2,3,磐田,試合終了,第4日,,,,9159
1,2006/04/26,-9,2,19:00,小瀬,甲府,1,1,名古屋,試合終了,第4日,,,,9160
2,2006/05/14,-9,3,15:04,味スタ,Ｆ東京,0,1,福岡,試合終了,第4日,,,,9124
3,2006/05/14,-9,4,16:00,日産ス,横浜FM,1,2,浦和,試合終了,第4日,,,,9125
4,2006/05/14,-9,5,15:00,カシマ,鹿島,3,2,京都,試合終了,第4日,,,,9136
5,2006/05/14,-9,6,15:01,九石ド,大分,0,2,川崎Ｆ,試合終了,第4日,,,,9137
6,2006/05/14,-9,7,13:04,日本平,清水,1,0,千葉,試合終了,第4日,,,,9148
7,2006/05/14,-9,8,15:00,広島ス,広島,0,0,新潟,試合終了,第4日,,,,9149
0,2006/05/10,-8,1,19:00,瑞穂陸,名古屋,1,2,大宮,試合終了,第5日,,,,9162
1,2006/05/10,-8,2,19:02,小瀬,甲府,0,1,Ｃ大阪,試合終了,第5日,,,,9161
2,2006/05/17,-8,3,19:00,味スタ,Ｆ東京,0,0,浦和,試合終了,第5日,,,,9126
3,2006/05/17,-8,4,19:00,博多球,福岡,1,1,横浜FM,試合終了,第5日,,,,9127
4,2006/05/17,-8,5,19:00,等々力,川崎Ｆ,1,0,大分,試合終了,第5日,,,,9138
5,2006/05/17,-8,6,19:01,西京極,京都,2,1,鹿島,試合終了,第5日,,,,9139
6,2006/05/17,-8,7,19:00,広島ス,広島,0,1,清水,試合終了,第5日,,,,9150
0,2006/05/14,-7,1,13:01,駒場,大宮,1,0,甲府,試合終了,第6日,,,,9163
1,2006/05/14,-7,2,19:00,瑞穂陸,名古屋,1,1,Ｃ大阪,試合終了,第6日,,,,9164
2,2006/05/18,-7,3,19:00,新潟ス,新潟,0,0,千葉,試合終了,第6日,,,,9151
3,2006/05/21,-7,4,15:00,博多球,福岡,0,0,Ｆ東京,試合終了,第6日,,,,9129
4,2006/05/21,-7,5,15:02,埼玉,浦和,4,2,横浜FM,試合終了,第6日,,,,9128
5,2006/05/21,-7,6,15:00,等々力,川崎Ｆ,2,1,鹿島,試合終了,第6日,,,,9140
6,2006/05/21,-7,7,15:00,岡山,京都,1,2,大分,試合終了,第6日,,,,9141
0,2006/05/17,-6,1,19:03,駒場,大宮,1,1,Ｃ大阪,試合終了,第7日,,,,9165
1,2006/05/21,-6,2,15:00,フクアリ,千葉,1,0,清水,試合終了,第7日,,,,9152
2,2006/05/21,-6,3,15:00,新潟ス,新潟,0,1,広島,試合終了,第7日,,,,9153
0,2006/05/18,-5,1,19:00,ヤマハ,磐田,1,2,甲府,試合終了,第8日,,,,9166
0,2006/05/21,-4,1,15:00,長居,Ｃ大阪,3,2,大宮,試合終了,第9日,,,,9168
1,2006/05/21,-4,2,15:01,鴨池,磐田,2,1,名古屋,試合終了,第9日,,,,9167
0,2006/06/03,-3,1,15:05,駒場,浦和,4,3,川崎Ｆ,試合終了,準々決勝　第1戦,,,1,9169
1,2006/06/03,-3,2,19:05,日産ス,横浜FM,2,1,磐田,試合終了,準々決勝　第1戦,,,1,9170
2,2006/06/04,-3,3,15:05,長居,Ｃ大阪,2,5,千葉,試合終了,準々決勝　第1戦,,,1,9171
3,2006/06/04,-3,4,19:00,カシマ,鹿島,0,0,Ｇ大阪,試合終了,準々決勝　第1戦,,,1,9172
0,2006/06/07,-3,1,19:04,等々力,川崎Ｆ,2,1,浦和,試合終了,準々決勝　第2戦,,,2,9173
1,2006/06/08,-3,3,19:00,フクアリ,千葉,3,2,Ｃ大阪,試合終了,準々決勝　第2戦,,,2,9174
2,2006/06/08,-3,2,19:05,ヤマハ,磐田,0,2,横浜FM,試合終了,準々決勝　第2戦,,,2,9175
3,2006/06/08,-3,4,19:05,万博,Ｇ大阪,0,2,鹿島,試合終了,準々決勝　第2戦,,,2,9176
0,2006/09/02,-2,1,19:00,カシマ,鹿島,1,0,横浜FM,試合終了,準決勝　第1戦,,,1,9177
1,2006/09/03,-2,2,19:01,等々力,川崎Ｆ,2,2,千葉,試合終了,準決勝　第1戦,,,1,9178
0,2006/09/20,-2,2,19:00,フクアリ,千葉,3,2,川崎Ｆ,試合終了,準決勝　第2戦,,,2,9179
1,2006/09/20,-2,1,19:00,日産ス,横浜FM,2,1,鹿島,試合終了,準決勝　第2戦,,,2,9180
0,2006/11/03,-1,1,14:09,国立,鹿島,0,2,千葉,試合終了,決勝,,,,9181
