,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,round,home_goal,away_goal,home_pk_score,away_pk_score,match_index_in_section,group
15,2021/04/25,4,11:00,トヨタＧ,名古屋グランパスU-18,サンフレッチェ広島F.Cユース,試合終了,406,第4節,2,2,,,1,
16,2021/10/30,4,10:30,いぶきＣ,ヴィッセル神戸U-18,サガン鳥栖U-18,試合終了,407,第4節,0,2,,,2,
17,2021/10/03,4,15:00,東福岡Ｇ,東福岡高校,セレッソ大阪U-18,試合終了,408,第4節,1,0,,,3,
18,2021/04/25,4,11:00,大津球天,大津高校,ジュビロ磐田U-18,試合終了,409,第4節,2,1,,,4,
19,2021/10/23,4,14:00,OFA万博B,ガンバ大阪ユース,京都サンガF.C. U-18,試合終了,410,第4節,1,1,,,5,
20,2021/05/01,5,11:00,吉田人工,サンフレッチェ広島F.Cユース,大津高校,試合終了,506,第5節,1,0,,,1,
21,2021/07/18,5,17:00,サンガＳ,京都サンガF.C. U-18,サガン鳥栖U-18,試合終了,507,第5節,3,1,,,2,
22,2021/11/06,5,14:30,磐田ゆサ,ジュビロ磐田U-18,ガンバ大阪ユース,試合終了,508,第5節,0,5,,,3,
23,2021/12/12,5,14:30,いぶきＣ,ヴィッセル神戸U-18,東福岡高校,試合終了,509,第5節,2,0,,,4,
24,2021/07/18,5,17:00,ｾﾚｯｿ舞洲,セレッソ大阪U-18,名古屋グランパスU-18,試合終了,510,第5節,1,2,,,5,
25,2021/11/06,6,14:00,ｾﾚｯｿ舞洲,セレッソ大阪U-18,ヴィッセル神戸U-18,試合終了,606,第6節,6,2,,,1,
26,2021/11/14,6,10:00,OFA万博B,ガンバ大阪ユース,サンフレッチェ広島F.Cユース,試合終了,607,第6節,6,1,,,2,
27,2021/11/13,6,14:30,磐田ゆサ,ジュビロ磐田U-18,サガン鳥栖U-18,試合終了,608,第6節,1,1,,,3,
28,2021/07/10,6,17:00,東城陽Ｇ,京都サンガF.C. U-18,東福岡高校,試合終了,609,第6節,1,1,,,4,
29,未定,6,中止,試合中止,大津高校,名古屋グランパスU-18,試合中止,610,第6節,,,,,5,
30,未定,7,中止,試合中止,大津高校,ガンバ大阪ユース,試合中止,706,第7節,,,,,1,
31,2021/10/30,7,14:00,ｾﾚｯｿ舞洲,セレッソ大阪U-18,京都サンガF.C. U-18,試合終了,707,第7節,4,0,,,2,
32,2021/07/17,7,16:00,東福岡Ｇ,東福岡高校,ジュビロ磐田U-18,試合終了,708,第7節,1,0,,,3,
33,2021/10/03,7,11:00,佐賀市天,サガン鳥栖U-18,サンフレッチェ広島F.Cユース,試合終了,709,第7節,1,1,,,4,
34,2021/10/03,7,16:00,ﾄﾖﾀG人,名古屋グランパスU-18,ヴィッセル神戸U-18,試合終了,710,第7節,2,3,,,5,
