,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance
1,2014/09/07,24,2,15:00,ギオンス,相模原,1,0,鳥取,試合終了,,2051
2,2014/09/07,24,3,15:00,沖縄市陸,琉球,0,0,藤枝,試合終了,,1004
3,2014/09/07,24,4,15:30,佐久,長野,3,0,秋田,試合終了,長野朝日放送,2360
4,2014/09/07,24,5,17:00,町田,町田,3,0,J-22,試合終了,,3015
5,2014/09/07,24,6,18:00,石川西部,金沢,2,1,福島,試合終了,,2840
0,2014/08/17,25,1,14:59,盛岡南,盛岡,2,1,J-22,試合終了,Ｕ－２１日本代表の「第１７回アジア競技大会」出場により、８月１７日（日）に開催,817
1,2014/09/13,25,2,15:01,とうスタ,福島,2,2,YS横浜,試合終了,,751
2,2014/09/14,25,3,15:00,石川西部,金沢,3,2,長野,試合終了,,4392
3,2014/09/14,25,4,15:01,沖縄市陸,琉球,0,0,鳥取,試合終了,,1053
4,2014/09/14,25,5,15:01,Ａ‐スタ,秋田,2,1,町田,試合終了,,1902
5,2014/09/14,25,6,17:00,藤枝サ,藤枝,1,1,相模原,試合終了,,1626
0,2014/09/20,26,1,13:05,Ａ‐スタ,秋田,1,2,金沢,試合終了,秋田放送,1037
1,2014/09/21,26,2,13:00,とりスタ,鳥取,2,1,藤枝,試合終了,,3030
2,2014/09/21,26,3,13:04,いわきグ,福島,0,1,盛岡,試合終了,ＮＨＫ福島／ＮＨＫ盛岡,1589
3,2014/09/21,26,4,14:00,ギオンス,相模原,1,2,町田,試合終了,,5630
4,2014/09/21,26,5,15:00,沖縄市陸,琉球,0,1,長野,試合終了,,1031
5,2014/10/26,26,6,13:00,ＢＭＷス,YS横浜,1,1,J-22,試合終了,Ｕ－２１日本代表の「第１７回アジア競技大会」出場により、１０月２６日（日）に開催,577
0,2014/10/04,27,1,12:00,石川西部,金沢,2,1,YS横浜,試合終了,北陸放送,4665
1,2014/10/05,27,2,13:00,ギオンス,相模原,1,1,琉球,試合終了,,921
2,2014/10/05,27,3,13:00,町田,町田,1,2,鳥取,試合終了,,2012
3,2014/10/05,27,4,13:04,とうスタ,福島,2,0,秋田,試合終了,福島テレビ,987
4,2014/10/05,27,5,14:00,盛岡南,盛岡,0,2,藤枝,試合終了,岩手朝日テレビ,1625
5,2014/10/05,27,6,15:00,佐久,長野,5,0,J-22,試合終了,,1705
0,2014/10/11,28,1,13:00,Ａ‐スタ,秋田,2,1,YS横浜,試合終了,,1677
1,2014/10/12,28,2,13:00,ギオンス,相模原,1,5,J-22,試合終了,,2307
2,2014/10/12,28,3,13:00,エコパ,藤枝,0,2,福島,試合終了,,935
3,2014/10/12,28,4,13:03,町田,町田,0,0,金沢,試合終了,スカパー！プレミアムサービス,4312
