,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance,home_pk_score,away_pk_score,home_score_ex,away_score_ex
1,1994/09/03,7,2,18:30,瑞穂陸,名古屋,2,4,鹿島,試合終了,,21753,,,,
2,1994/09/03,7,3,18:32,国立,市原,2,3,横浜M,試合終了,,48935,,,,
3,1994/09/03,7,4,19:02,神戸ユ,清水,0,1,磐田,試合終了,,37306,,,0,1
4,1994/09/03,7,5,19:03,万博,Ｇ大阪,0,3,平塚,試合終了,,19505,,,,
5,1994/09/03,7,6,19:05,広島ビ,広島,3,2,Ｖ川崎,試合終了,,42505,,,,
0,1994/09/07,8,1,19:01,磐田,磐田,2,1,浦和,試合終了,,14163,,,,
1,1994/09/07,8,2,19:03,三ツ沢,横浜M,3,0,広島,試合終了,,12971,,,,
2,1994/09/07,8,3,19:03,国立,平塚,2,1,横浜Ｆ,試合終了,,44338,,,1,0
3,1994/09/07,8,4,19:04,万博,Ｇ大阪,0,1,鹿島,試合終了,,18887,,,,
4,1994/09/07,8,5,19:05,瑞穂陸,名古屋,1,2,Ｖ川崎,試合終了,,21316,,,,
5,1994/09/07,8,6,19:07,草薙陸,清水,1,1,市原,試合終了,,17487,1,3,0,0
0,1994/09/10,9,1,12:32,札幌,市原,5,1,磐田,試合終了,,18382,,,,
1,1994/09/10,9,2,15:02,等々力,Ｖ川崎,2,1,Ｇ大阪,試合終了,,10641,,,,
2,1994/09/10,9,3,18:32,大宮,浦和,1,4,平塚,試合終了,,9230,,,,
3,1994/09/10,9,4,18:32,広島ス,広島,0,1,清水,試合終了,,13307,,,,
4,1994/09/10,9,5,19:02,三ツ沢,横浜M,2,1,名古屋,試合終了,,13652,,,,
5,1994/09/10,9,6,19:04,カシマ,鹿島,1,2,横浜Ｆ,試合終了,,15638,,,,
0,1994/09/14,10,1,18:32,栃木,市原,0,1,広島,試合終了,,16875,,,0,1
1,1994/09/14,10,2,18:59,磐田,磐田,3,1,平塚,試合終了,,14256,,,,
2,1994/09/14,10,3,19:01,博多陸,清水,2,1,名古屋,試合終了,,20077,,,,
3,1994/09/14,10,4,19:01,万博,Ｇ大阪,0,0,横浜M,試合終了,,19060,3,4,0,0
4,1994/09/14,10,5,19:03,カシマ,鹿島,2,0,浦和,試合終了,,15661,,,,
5,1994/09/14,10,6,19:04,三ツ沢,横浜Ｆ,2,3,Ｖ川崎,試合終了,,14085,,,,
0,1994/09/17,11,1,14:00,磐田,磐田,0,0,広島,試合終了,,13970,4,3,0,0
1,1994/09/17,11,2,18:00,長良川,名古屋,3,1,市原,試合終了,,24157,,,,
2,1994/09/17,11,3,18:32,国立,浦和,1,3,Ｖ川崎,試合終了,,55125,,,,
3,1994/09/17,11,4,18:32,平塚,平塚,3,1,鹿島,試合終了,,15523,,,,
4,1994/09/17,11,5,19:01,万博,Ｇ大阪,1,0,清水,試合終了,,19429,,,,
5,1994/09/17,11,6,19:02,三ツ沢,横浜Ｆ,1,0,横浜M,試合終了,,14508,,,,
0,1994/09/21,12,1,19:02,三ツ沢,横浜M,1,2,平塚,試合終了,,13448,,,,
1,1994/09/21,12,2,19:02,草薙陸,清水,5,4,浦和,試合終了,,19001,,,1,0
2,1994/09/21,12,3,19:03,瑞穂陸,名古屋,4,1,磐田,試合終了,,19137,,,,
3,1994/09/21,12,4,19:03,福山市,広島,1,1,Ｇ大阪,試合終了,,8898,4,3,0,0
4,1994/09/21,12,5,19:04,等々力,Ｖ川崎,2,1,鹿島,試合終了,,10640,,,,
5,1994/09/21,12,6,19:05,富山,市原,0,3,横浜Ｆ,試合終了,,23258,,,,
0,1994/10/19,13,1,19:02,平塚,平塚,2,1,清水,試合終了,,15200,,,,
1,1994/10/19,13,2,19:03,博多陸,浦和,3,2,市原,試合終了,,10915,,,1,0
2,1994/10/19,13,3,19:03,国立,横浜Ｆ,3,1,広島,試合終了,,49650,,,,
3,1994/10/19,13,4,19:03,万博,Ｇ大阪,5,3,名古屋,試合終了,,17330,,,,
4,1994/10/19,13,5,19:04,カシマ,鹿島,2,1,横浜M,試合終了,,15216,,,,
5,1994/10/19,13,6,19:04,磐田,磐田,2,1,Ｖ川崎,試合終了,,15078,,,1,0
0,1994/10/22,14,1,15:03,国立,横浜M,0,2,Ｖ川崎,試合終了,,49243,,,,
1,1994/10/22,14,2,18:33,市原,市原,2,1,平塚,試合終了,,14635,,,,
2,1994/10/22,14,3,18:34,長良川,名古屋,0,3,横浜Ｆ,試合終了,,24817,,,,
3,1994/10/22,14,4,18:35,広島ビ,広島,1,0,浦和,試合終了,,15903,,,,
4,1994/10/22,14,5,19:04,草薙陸,清水,3,1,鹿島,試合終了,,18160,,,,
5,1994/10/22,14,6,19:05,神戸ユ,Ｇ大阪,1,1,磐田,試合終了,,34849,5,4,0,0
0,1994/10/26,15,1,19:01,水前寺,横浜Ｆ,0,2,Ｇ大阪,試合終了,,12241,,,,
1,1994/10/26,15,2,19:02,カシマ,鹿島,0,1,市原,試合終了,,15106,,,,
2,1994/10/26,15,3,19:03,平塚,平塚,4,1,広島,試合終了,,15094,,,,
3,1994/10/26,15,4,19:03,磐田,磐田,1,2,横浜M,試合終了,,14564,,,,
4,1994/10/26,15,5,19:04,大宮,浦和,1,1,名古屋,試合終了,,9885,4,3,0,0
5,1994/10/26,15,6,19:04,国立,Ｖ川崎,5,1,清水,試合終了,,51166,,,,
0,1994/10/29,16,1,14:33,長良川,名古屋,0,4,平塚,試合終了,,23899,,,,
1,1994/10/29,16,2,18:33,長崎,横浜Ｆ,1,3,磐田,試合終了,,14472,,,,
2,1994/10/29,16,3,19:03,国立,清水,1,3,横浜M,試合終了,,48157,,,,
3,1994/10/29,16,4,19:04,万博,Ｇ大阪,4,1,浦和,試合終了,,18318,,,,
4,1994/10/29,16,5,19:05,市原,市原,1,3,Ｖ川崎,試合終了,,14975,,,,
5,1994/10/29,16,6,19:05,広島ビ,広島,2,4,鹿島,試合終了,,30621,,,,
0,1994/11/02,17,1,19:00,平塚,平塚,3,0,Ｇ大阪,試合終了,,15122,,,,
1,1994/11/02,17,2,19:01,大宮,浦和,3,1,横浜Ｆ,試合終了,,9901,,,,
2,1994/11/02,17,3,19:01,国立,横浜M,3,2,市原,試合終了,,48677,,,,
3,1994/11/02,17,4,19:03,カシマ,鹿島,3,3,名古屋,試合終了,,15608,5,4,0,0
4,1994/11/02,17,5,19:03,等々力,Ｖ川崎,0,1,広島,試合終了,,15554,,,,
5,1994/11/02,17,6,19:03,磐田,磐田,2,1,清水,試合終了,,15377,,,,
0,1994/11/05,18,1,15:01,カシマ,鹿島,1,2,Ｇ大阪,試合終了,,15603,,,,
1,1994/11/05,18,2,15:02,三ツ沢,横浜Ｆ,3,0,平塚,試合終了,,13890,,,,
2,1994/11/05,18,3,15:03,神戸ユ,浦和,2,0,磐田,試合終了,,23195,,,,
3,1994/11/05,18,4,15:03,市原,市原,1,0,清水,試合終了,,14331,,,,
4,1994/11/05,18,5,18:04,愛媛陸,広島,2,1,横浜M,試合終了,,17105,,,,
5,1994/11/05,18,6,19:04,等々力,Ｖ川崎,2,1,名古屋,試合終了,,15547,,,1,0
0,1994/11/09,19,1,18:33,長良川,名古屋,1,6,横浜M,試合終了,,23072,,,,
1,1994/11/09,19,2,19:01,草薙陸,清水,2,1,広島,試合終了,,19002,,,,
2,1994/11/09,19,3,19:03,平塚,平塚,2,0,浦和,試合終了,,15013,,,,
3,1994/11/09,19,4,19:03,磐田,磐田,1,0,市原,試合終了,,15357,,,,
4,1994/11/09,19,5,19:04,鴨池,横浜Ｆ,0,2,鹿島,試合終了,,13269,,,,
5,1994/11/09,19,6,19:06,万博,Ｇ大阪,1,3,Ｖ川崎,試合終了,,19778,,,,
0,1994/11/12,20,1,14:32,大宮,浦和,2,4,鹿島,試合終了,,9962,,,,
1,1994/11/12,20,2,15:02,三ツ沢,横浜M,0,1,Ｇ大阪,試合終了,,12821,,,0,1
2,1994/11/12,20,3,15:02,平塚,平塚,1,0,磐田,試合終了,,15604,,,,
3,1994/11/12,20,4,15:03,長良川,名古屋,0,2,清水,試合終了,,23774,,,,
4,1994/11/12,20,5,15:04,広島ス,広島,1,0,市原,試合終了,,11765,,,1,0
5,1994/11/12,20,6,19:03,等々力,Ｖ川崎,2,0,横浜Ｆ,試合終了,,15533,,,,
0,1994/11/16,21,1,19:01,三ツ沢,横浜M,2,0,横浜Ｆ,試合終了,,13102,,,,
1,1994/11/16,21,2,19:01,草薙陸,清水,1,0,Ｇ大阪,試合終了,,17090,,,,
2,1994/11/16,21,3,19:03,カシマ,鹿島,3,1,平塚,試合終了,,15457,,,,
3,1994/11/16,21,4,19:03,市原,市原,2,0,名古屋,試合終了,,14106,,,,
4,1994/11/16,21,5,19:03,国立,Ｖ川崎,2,1,浦和,試合終了,,52480,,,,
5,1994/11/16,21,6,19:04,広島ス,広島,0,0,磐田,試合終了,,8523,7,6,0,0
0,1994/11/19,22,1,15:00,磐田,磐田,3,2,鹿島,試合終了,,15346,,,,
1,1994/11/19,22,2,15:01,平塚,平塚,2,1,Ｖ川崎,試合終了,,15621,,,,
2,1994/11/19,22,3,15:02,三ツ沢,横浜Ｆ,0,2,清水,試合終了,,13714,,,,
3,1994/11/19,22,4,15:03,瑞穂陸,名古屋,1,0,広島,試合終了,,21506,,,1,0
4,1994/11/19,22,5,15:04,富山,浦和,3,6,横浜M,試合終了,,22838,,,,
5,1994/11/19,22,6,15:05,万博,Ｇ大阪,1,2,市原,試合終了,,18417,,,,
