,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,leg,match_number
7,2008/04/16,3,8,19:00,東北電ス,新潟,1,1,大分,試合終了,第3節,,,,10775
0,2008/05/25,4,1,14:01,西京極,京都,0,1,神戸,試合終了,第4節,,,,10740
1,2008/05/25,4,2,19:00,豊田ス,名古屋,4,2,浦和,試合終了,第4節,,,,10741
2,2008/05/25,4,3,13:04,日本平,清水,4,2,磐田,試合終了,第4節,,,,10752
3,2008/05/25,4,4,15:04,味スタ,Ｆ東京,3,0,東京Ｖ,試合終了,第4節,,,,10753
4,2008/05/25,4,5,14:01,函館,札幌,1,2,千葉,試合終了,第4節,,,,10764
5,2008/05/25,4,6,16:02,柏の葉,柏,3,1,川崎Ｆ,試合終了,第4節,,,,10765
6,2008/05/25,4,7,14:00,ＮＡＣＫ,大宮,1,2,大分,試合終了,第4節,,,,10776
7,2008/05/25,4,8,15:00,ニッパ球,横浜FM,0,0,新潟,試合終了,第4節,,,,10777
0,2008/05/31,5,1,14:00,西京極,京都,1,2,名古屋,試合終了,第5節,,,,10742
1,2008/05/31,5,2,19:00,ホムスタ,神戸,2,1,浦和,試合終了,第5節,,,,10743
2,2008/05/31,5,3,14:03,鴨池,磐田,3,0,東京Ｖ,試合終了,第5節,,,,10755
3,2008/05/31,5,4,14:04,松本,Ｆ東京,1,1,清水,試合終了,第5節,,,,10754
4,2008/05/31,5,5,15:00,等々力,川崎Ｆ,2,0,札幌,試合終了,第5節,,,,10766
5,2008/05/31,5,6,16:01,柏の葉,柏,1,1,千葉,試合終了,第5節,,,,10767
6,2008/05/31,5,7,14:00,熊谷陸,大宮,1,1,新潟,試合終了,第5節,,,,10778
7,2008/05/31,5,8,14:00,九石ド,大分,2,2,横浜FM,試合終了,第5節,,,,10779
0,2008/06/08,6,1,15:00,埼玉,浦和,1,5,名古屋,試合終了,第6節,,,,10744
1,2008/06/08,6,2,15:01,ホムスタ,神戸,1,1,京都,試合終了,第6節,,,,10745
2,2008/06/08,6,3,15:00,国立,東京Ｖ,2,4,Ｆ東京,試合終了,第6節,,,,10756
3,2008/06/08,6,4,15:00,ヤマハ,磐田,2,0,清水,試合終了,第6節,,,,10757
4,2008/06/08,6,5,15:00,フクアリ,千葉,3,2,川崎Ｆ,試合終了,第6節,,,,10769
5,2008/06/08,6,6,15:01,札幌ド,札幌,0,3,柏,試合終了,第6節,,,,10768
6,2008/06/08,6,7,15:00,東北電ス,新潟,0,1,横浜FM,試合終了,第6節,,,,10780
7,2008/06/08,6,8,15:01,九石ド,大分,1,0,大宮,試合終了,第6節,,,,10781
0,2008/07/02,-3,1,18:59,金沢,Ｇ大阪,1,0,横浜FM,試合終了,準々決勝　第1戦,,,1,10785
1,2008/07/02,-3,2,19:00,カシマ,鹿島,0,0,清水,試合終了,準々決勝　第1戦,,,1,10782
2,2008/07/02,-3,3,19:00,フクアリ,千葉,0,1,名古屋,試合終了,準々決勝　第1戦,,,1,10783
3,2008/07/02,-3,4,19:00,味スタ,Ｆ東京,1,2,大分,試合終了,準々決勝　第1戦,,,1,10784
0,2008/08/06,-3,1,19:00,ニッパ球,横浜FM,2,1,Ｇ大阪,試合終了,準々決勝　第2戦,,,2,10786
1,2008/08/06,-3,2,19:00,日本平,清水,2,1,鹿島,試合終了,準々決勝　第2戦,,,2,10787
2,2008/08/06,-3,3,19:00,瑞穂陸,名古屋,1,0,千葉,試合終了,準々決勝　第2戦,,,2,10788
3,2008/08/06,-3,4,19:00,九石ド,大分,1,1,Ｆ東京,試合終了,準々決勝　第2戦,,,2,10789
0,2008/09/03,-2,1,19:00,日本平,清水,1,1,Ｇ大阪,試合終了,準決勝　第1戦,,,1,10790
1,2008/09/03,-2,2,19:00,瑞穂陸,名古屋,1,1,大分,試合終了,準決勝　第1戦,,,1,10791
0,2008/09/07,-2,2,18:00,九石ド,大分,1,0,名古屋,試合終了,準決勝　第2戦,,,2,10793
1,2008/09/07,-2,1,19:00,万博,Ｇ大阪,2,3,清水,試合終了,準決勝　第2戦,,,2,10792
0,2008/11/01,-1,1,13:39,国立,大分,2,0,清水,試合終了,決勝,,,,10794
