,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status
220,2025/07/12,23,1,18:00,ソユスタ,秋田,,,熊本,ＶＳ
221,2025/07/12,23,2,18:00,ハワスタ,いわき,,,長崎,ＶＳ
222,2025/07/12,23,3,18:00,Ｋｓスタ,水戸,,,富山,ＶＳ
223,2025/07/12,23,4,18:05,アシさと,今治,,,愛媛,ＶＳ
224,2025/07/12,23,5,18:30,ＪＩＴス,甲府,,,大宮,ＶＳ
225,2025/07/12,23,6,19:00,ＮＤスタ,山形,,,千葉,ＶＳ
226,2025/07/12,23,7,19:00,藤枝サ,藤枝,,,仙台,ＶＳ
227,2025/07/12,23,8,19:00,みらスタ,山口,,,徳島,ＶＳ
228,2025/07/12,23,9,19:00,駅スタ,鳥栖,,,大分,ＶＳ
229,2025/07/12,23,10,19:30,ヤマハ,磐田,,,札幌,ＶＳ
230,2025/08/02,24,1,14:00,プレド,札幌,,,鳥栖,ＶＳ
231,2025/08/02,24,2,18:00,富山,富山,,,大宮,ＶＳ
232,2025/08/02,24,3,18:00,ピースタ,長崎,,,仙台,ＶＳ
233,2025/08/02,24,4,18:30,ＪＩＴス,甲府,,,山形,ＶＳ
234,2025/08/02,24,5,19:00,フクアリ,千葉,,,いわき,ＶＳ
235,2025/08/02,24,6,19:00,藤枝サ,藤枝,,,山口,ＶＳ
236,2025/08/02,24,7,19:00,鳴門大塚,徳島,,,愛媛,ＶＳ
237,2025/08/02,24,8,19:00,クラド,大分,,,今治,ＶＳ
238,2025/08/02,24,9,19:30,ヤマハ,磐田,,,秋田,ＶＳ
239,2025/08/03,24,10,19:00,えがおＳ,熊本,,,水戸,ＶＳ
240,2025/08/09,25,1,18:00,ソユスタ,秋田,,,藤枝,ＶＳ
241,2025/08/09,25,2,18:00,ピースタ,長崎,,,札幌,ＶＳ
242,2025/08/09,25,3,19:00,ＮＡＣＫ,大宮,,,千葉,ＶＳ
243,2025/08/09,25,4,19:00,アシさと,今治,,,熊本,ＶＳ
244,2025/08/09,25,5,19:00,クラド,大分,,,富山,ＶＳ
245,2025/08/10,25,6,18:00,ハワスタ,いわき,,,磐田,ＶＳ
