,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team
186,2021-11-14,27,5,13:00,ユニスタ,岐阜,,,宮崎
187,2021-11-14,27,6,14:00,三ツ沢陸,岩手,,,YS横浜
188,2021-11-14,27,7,14:00,えがおＳ,富山,,,熊本
189,2021-11-20,28,1,13:00,藤枝サ,鹿児島,,,藤枝
190,2021-11-21,28,2,13:00,プラスタ,岐阜,,,八戸
191,2021-11-21,28,3,13:00,北上,讃岐,,,岩手
192,2021-11-21,28,4,13:00,富山,宮崎,,,富山
193,2021-11-21,28,5,13:00,Ａｘｉｓ,今治,,,鳥取
194,2021-11-21,28,6,13:10,えがおＳ,YS横浜,,,熊本
195,2021-11-21,28,7,14:00,長野Ｕ,沼津,,,長野
196,2021-11-28,29,1,13:00,いわスタ,富山,,,岩手
197,2021-11-28,29,2,13:00,ニッパツ,福島,,,YS横浜
198,2021-11-28,29,3,13:00,夢スタ,八戸,,,今治
199,2021-11-28,29,4,13:00,白波スタ,長野,,,鹿児島
200,2021-11-28,29,5,13:00,ユニスタ,熊本,,,宮崎
201,2021-11-28,29,6,14:00,長良川,藤枝,,,岐阜
202,2021-11-28,29,7,14:00,ピカスタ,鳥取,,,讃岐
203,2021-12-05,30,1,14:00,Ｊスタ,讃岐,,,福島
204,2021-12-05,30,2,14:00,長野Ｕ,今治,,,長野
205,2021-12-05,30,3,14:00,富山,鹿児島,,,富山
206,2021-12-05,30,4,14:00,藤枝サ,YS横浜,,,藤枝
207,2021-12-05,30,5,14:00,愛鷹,岩手,,,沼津
208,2021-12-05,30,6,14:00,Ａｘｉｓ,八戸,,,鳥取
209,2021-12-05,30,7,14:00,えがおＳ,岐阜,,,熊本
