,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
80,1997,ＹＮＣ 予選Ｄグループ,第６節第１日,03/29(土),15:00,神戸,2-1,柏,神戸ユ,1740,
81,1997,ＹＮＣ 予選Ｄグループ,第６節第１日,03/29(土),15:01,広島,4-2,名古屋,広島ビ,3317,
82,1997,ＹＮＣ 予選Ｅグループ,第６節第１日,03/29(土),14:03,磐田,0-0,横浜Ｆ,磐田,8056,
83,1997,ＹＮＣ 予選Ｅグループ,第６節第１日,03/29(土),15:02,福岡,2-2,京都,博多球,4085,
84,1997,サテライトリーグ Ａグループ,第４節第１日,03/30(日),14:00,浦和,2-1,鹿島,大宮,2953,
85,1997,サテライトリーグ Ａグループ,第４節第１日,03/30(日),14:00,市原,1-1,柏,市原,450,
86,1997,サテライトリーグ Ｂグループ,第４節第１日,03/30(日),14:01,横浜Ｆ,2-1,横浜M,三ツ沢陸,1077,
87,1997,サテライトリーグ Ｂグループ,第４節第１日,03/30(日),14:01,平塚,2-6,清水,平塚,650,
88,1997,サテライトリーグ Ｂグループ,第４節第１日,03/30(日),14:59,磐田,2-0,名古屋,磐田,674,
89,1997,サテライトリーグ Ｃグループ,第４節第１日,03/30(日),13:59,福岡,1-3,広島,小郡,821,
90,1997,サテライトリーグ Ｃグループ,第４節第１日,03/30(日),14:01,Ｃ大阪,0-0,Ｇ大阪,瀬田Ｇ,150,
91,1997,サテライトリーグ Ｃグループ,第４節第１日,03/30(日),14:02,神戸,0-2,京都,神戸ユ補,175,
92,1997,ゼロックススーパーカップ,第１節第１日,04/05(土),12:45,鹿島,3-2,Ｖ川崎,国立,28920,
93,1997,サテライトリーグ Ａグループ,第５節第１日,04/06(日),14:00,柏,3-2,浦和,松戸,869,
94,1997,サテライトリーグ Ａグループ,第５節第１日,04/06(日),14:00,Ｖ川崎,1-0,市原,等々力,553,
95,1997,サテライトリーグ Ｂグループ,第５節第１日,04/06(日),14:00,清水,0-3,磐田,日本平,551,
96,1997,サテライトリーグ Ｂグループ,第５節第１日,04/06(日),14:01,名古屋,0-1,横浜Ｆ,豊田,466,
97,1997,サテライトリーグ Ｂグループ,第５節第１日,04/06(日),14:02,横浜M,1-0,平塚,ＮＫＫ,100,
98,1997,サテライトリーグ Ｃグループ,第５節第１日,04/06(日),14:00,Ｃ大阪,1-1,福岡,紀三井寺,53,
99,1997,サテライトリーグ Ｃグループ,第５節第１日,04/06(日),14:03,京都,2-2,Ｇ大阪,八日市Ｇ,101,
100,1997,サテライトリーグ Ｃグループ,第５節第１日,04/06(日),14:58,広島,1-0,神戸,広域１,1852,
101,1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),15:00,横浜Ｆ,3-1,福岡,三ツ沢,8019,
102,1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),15:01,Ｇ大阪,4-1,平塚,万博,6205,
103,1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),15:03,名古屋,2-3,Ｃ大阪,瑞穂陸,17480,
104,1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),15:04,柏,0-1,清水,国立,25027,
105,1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),15:05,鹿島,5-2,神戸,カシマ,16255,
106,1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),15:34,磐田,2-1,広島,磐田,9545,
107,1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),17:03,浦和,2-3,横浜M,駒場,20098,
108,1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),19:04,Ｖ川崎,0-2,市原,等々力,12169,
109,1997,サテライトリーグ Ａグループ,第６節第１日,04/13(日),14:00,浦和,3-1,市原,大宮,3201,
110,1997,サテライトリーグ Ａグループ,第６節第１日,04/13(日),14:02,鹿島,1-1,Ｖ川崎,鹿島Ｇ,526,
111,1997,サテライトリーグ Ｂグループ,第６節第１日,04/13(日),13:59,平塚,1-2,横浜Ｆ,愛川町,350,
112,1997,サテライトリーグ Ｂグループ,第６節第１日,04/13(日),14:00,横浜M,0-0,磐田,ＮＫＫ,200,
113,1997,サテライトリーグ Ｂグループ,第６節第１日,04/13(日),14:00,清水,3-2,名古屋,日本平,796,
114,1997,サテライトリーグ Ｃグループ,第６節第１日,04/13(日),12:00,Ｇ大阪,1-2,神戸,八日市Ｇ,176,
115,1997,サテライトリーグ Ｃグループ,第６節第１日,04/13(日),14:00,Ｃ大阪,0-0,広島,瀬田Ｇ,66,
116,1997,サテライトリーグ Ｃグループ,第６節第１日,04/13(日),14:01,京都,4-5,福岡,八日市Ｇ,166,
117,1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:00,Ｃ大阪,0-2,横浜Ｆ,長居,8056,
118,1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:00,広島,2-3,柏,広島ビ,4156,
119,1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:00,福岡,0-1,磐田,博多球,7119,
120,1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:01,横浜M,0-4,Ｇ大阪,三ツ沢,6503,
121,1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:03,市原,2-4,京都,市原,3057,
122,1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:03,平塚,0-2,Ｖ川崎,平塚,7503,
123,1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:03,清水,0-1,浦和,日本平,7118,
124,1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:05,神戸,2-1,名古屋,神戸ユ,5959,
125,1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),14:00,Ｇ大阪,4-1,清水,万博,6604,
126,1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),14:03,磐田,1-2,Ｃ大阪,磐田,7186,
127,1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),15:02,京都,0-2,平塚,西京極,7193,
128,1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),15:03,浦和,0-1,広島,国立,38707,
129,1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),15:03,Ｖ川崎,2-2(PK3-4),横浜M,等々力,13568,
130,1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),16:04,柏,2-1,福岡,柏,5194,
131,1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),19:03,名古屋,0-2,鹿島,瑞穂陸,20425,
132,1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),19:04,横浜Ｆ,3-1,神戸,三ツ沢,7251,
133,1997,サテライトリーグ Ａグループ,第７節第１日,04/20(日),14:00,Ｖ川崎,0-1,柏,鏡石,1253,
134,1997,サテライトリーグ Ａグループ,第７節第１日,04/20(日),14:01,市原,0-3,鹿島,市原,590,
135,1997,サテライトリーグ Ｂグループ,第７節第１日,04/20(日),14:00,磐田,4-0,平塚,竜洋,628,
136,1997,サテライトリーグ Ｂグループ,第７節第１日,04/20(日),14:00,名古屋,1-0,横浜M,多治見,1688,
137,1997,サテライトリーグ Ｂグループ,第７節第１日,04/20(日),14:01,横浜Ｆ,2-1,清水,富士,300,
138,1997,サテライトリーグ Ｃグループ,第７節第１日,04/20(日),13:58,福岡,2-0,Ｇ大阪,田川,461,
139,1997,サテライトリーグ Ｃグループ,第７節第１日,04/20(日),14:00,神戸,2-0,Ｃ大阪,神戸中央,288,
140,1997,サテライトリーグ Ｃグループ,第７節第１日,04/20(日),14:59,広島,3-0,京都,広域１,216,
141,1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:00,鹿島,1-0,横浜Ｆ,カシマ,15336,
142,1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:00,神戸,1-2,磐田,神戸ユ,3670,
143,1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:00,福岡,0-3,浦和,博多球,5317,
144,1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:01,Ｃ大阪,2-2(PK5-4),柏,長居,6526,
145,1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:03,広島,2-0,Ｇ大阪,広島ビ,5576,
146,1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:04,横浜M,3-1,京都,三ツ沢,4541,
147,1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:04,清水,2-1,Ｖ川崎,日本平,9253,
148,1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:05,平塚,1-0,市原,平塚,4875,
149,1997,Ｊ１ １ｓｔ,第５節第１日,04/26(土),14:03,磐田,1-2,鹿島,磐田,13754,
150,1997,Ｊ１ １ｓｔ,第５節第１日,04/26(土),15:00,Ｖ川崎,1-2,広島,等々力,8573,
151,1997,Ｊ１ １ｓｔ,第５節第１日,04/26(土),15:00,Ｇ大阪,0-1,福岡,万博,5187,
152,1997,Ｊ１ １ｓｔ,第５節第１日,04/26(土),15:01,市原,1-2,横浜M,市原,7048,
153,1997,Ｊ１ １ｓｔ,第５節第１日,04/26(土),15:03,浦和,1-2,Ｃ大阪,駒場,18902,
154,1997,Ｊ１ １ｓｔ,第５節第１日,04/26(土),15:03,柏,3-1,神戸,柏,5554,
155,1997,Ｊ１ １ｓｔ,第５節第１日,04/26(土),16:05,京都,1-3,清水,西京極,6284,
156,1997,Ｊ１ １ｓｔ,第５節第１日,04/26(土),19:04,横浜Ｆ,2-0,名古屋,三ツ沢,10910,
157,1997,サテライトリーグ Ａグループ,第８節第１日,04/27(日),13:59,柏,3-1,市原,鴨川,1560,
158,1997,サテライトリーグ Ａグループ,第８節第１日,04/27(日),14:01,鹿島,0-1,浦和,鹿島Ｇ,508,
159,1997,サテライトリーグ Ｂグループ,第８節第１日,04/27(日),14:00,横浜M,3-1,横浜Ｆ,三ツ沢,1294,
160,1997,サテライトリーグ Ｂグループ,第８節第１日,04/27(日),14:00,名古屋,1-2,磐田,豊田,1129,
161,1997,サテライトリーグ Ｂグループ,第８節第１日,04/27(日),14:01,清水,0-1,平塚,御殿場,423,
162,1997,サテライトリーグ Ｃグループ,第８節第１日,04/27(日),14:01,京都,0-3,神戸,八日市Ｇ,113,
163,1997,サテライトリーグ Ｃグループ,第８節第１日,04/27(日),14:01,Ｇ大阪,0-1,Ｃ大阪,田辺Ｇ,129,
164,1997,サテライトリーグ Ｃグループ,第８節第１日,04/27(日),14:58,広島,0-2,福岡,広域１,295,
165,1997,Ｊ１ １ｓｔ,第６節第１日,05/03(土・祝),14:04,鹿島,0-4,柏,国立,31083,
166,1997,Ｊ１ １ｓｔ,第６節第１日,05/03(土・祝),15:00,神戸,0-2,浦和,神戸ユ,8542,
167,1997,Ｊ１ １ｓｔ,第６節第１日,05/03(土・祝),15:00,広島,1-0,京都,広島ビ,8848,
168,1997,Ｊ１ １ｓｔ,第６節第１日,05/03(土・祝),15:04,名古屋,0-2,磐田,長良川,13451,
169,1997,Ｊ１ １ｓｔ,第６節第１日,05/03(土・祝),15:05,清水,2-1,市原,日本平,9218,
170,1997,Ｊ１ １ｓｔ,第６節第１日,05/03(土・祝),15:33,Ｃ大阪,0-2,Ｇ大阪,長居,27734,
171,1997,Ｊ１ １ｓｔ,第６節第１日,05/03(土・祝),16:04,福岡,1-2,Ｖ川崎,博多球,14021,
172,1997,Ｊ１ １ｓｔ,第６節第１日,05/03(土・祝),19:04,横浜M,2-4,平塚,三ツ沢,12754,
173,1997,サテライトリーグ Ａグループ,第９節第１日,05/04(日),13:59,浦和,2-3,柏,鴻巣,3888,
174,1997,サテライトリーグ Ａグループ,第９節第１日,05/04(日),14:00,市原,1-3,Ｖ川崎,舞浜Ｇ,221,
175,1997,サテライトリーグ Ｂグループ,第９節第１日,05/04(日),13:05,平塚,2-2,横浜M,大庭,1650,
176,1997,サテライトリーグ Ｂグループ,第９節第１日,05/04(日),14:00,磐田,2-0,清水,竜洋,915,
177,1997,サテライトリーグ Ｂグループ,第９節第１日,05/04(日),14:01,横浜Ｆ,1-1,名古屋,町田,480,
178,1997,サテライトリーグ Ｃグループ,第９節第１日,05/04(日),14:00,福岡,2-1,Ｃ大阪,雁の巣,525,
179,1997,サテライトリーグ Ｃグループ,第９節第１日,05/04(日),14:01,Ｇ大阪,3-0,京都,田辺Ｇ,147,
180,1997,サテライトリーグ Ｃグループ,第９節第１日,05/04(日),14:01,神戸,2-3,広島,津山,450,
181,1997,Ｊ１ １ｓｔ,第７節第１日,05/07(水),18:59,Ｇ大阪,2-3,神戸,万博,5318,
182,1997,Ｊ１ １ｓｔ,第７節第１日,05/07(水),19:00,市原,3-2,広島,市原,2245,
183,1997,Ｊ１ １ｓｔ,第７節第１日,05/07(水),19:00,柏,1-0,名古屋,柏,6816,
184,1997,Ｊ１ １ｓｔ,第７節第１日,05/07(水),19:02,磐田,3-1,横浜Ｆ,磐田,7274,
185,1997,Ｊ１ １ｓｔ,第７節第１日,05/07(水),19:03,浦和,1-3,鹿島,駒場,18741,
186,1997,Ｊ１ １ｓｔ,第７節第１日,05/07(水),19:03,Ｖ川崎,0-2,Ｃ大阪,等々力,6784,
187,1997,Ｊ１ １ｓｔ,第７節第１日,05/07(水),19:04,平塚,1-2,清水,国立,19167,
188,1997,Ｊ１ １ｓｔ,第７節第１日,05/07(水),19:04,京都,1-0,福岡,西京極,4061,
189,1997,Ｊ１ １ｓｔ,第８節第１日,05/10(土),14:03,名古屋,3-1,浦和,瑞穂陸,18281,
190,1997,Ｊ１ １ｓｔ,第８節第１日,05/10(土),15:00,鹿島,1-2,Ｇ大阪,カシマ,16233,
191,1997,Ｊ１ １ｓｔ,第８節第１日,05/10(土),15:00,広島,0-1,平塚,広島ビ,7548,
192,1997,Ｊ１ １ｓｔ,第８節第１日,05/10(土),16:04,清水,1-2,横浜M,日本平,15105,
193,1997,Ｊ１ １ｓｔ,第８節第１日,05/10(土),16:04,福岡,2-1,市原,長崎,6584,
194,1997,Ｊ１ １ｓｔ,第８節第１日,05/10(土),18:34,Ｃ大阪,1-2,京都,鳥取,6983,
195,1997,Ｊ１ １ｓｔ,第８節第１日,05/10(土),19:00,神戸,2-4,Ｖ川崎,神戸ユ,13253,
196,1997,Ｊ１ １ｓｔ,第８節第１日,05/10(土),19:04,横浜Ｆ,2-0,柏,国立,23903,
197,1997,サテライトリーグ Ａグループ,第１０節第１日,05/11(日),14:00,柏,0-1,鹿島,成田,874,
198,1997,サテライトリーグ Ａグループ,第１０節第１日,05/11(日),14:02,Ｖ川崎,2-2,浦和,五戸,1104,
199,1997,サテライトリーグ Ｂグループ,第１０節第１日,05/11(日),14:00,横浜M,3-5,清水,ＮＫＫ,250,
200,1997,サテライトリーグ Ｂグループ,第１０節第１日,05/11(日),14:00,磐田,1-1,横浜Ｆ,竜洋,476,
201,1997,サテライトリーグ Ｂグループ,第１０節第１日,05/11(日),14:00,名古屋,0-2,平塚,瑞穂球,588,
202,1997,サテライトリーグ Ｃグループ,第１０節第１日,05/11(日),13:59,福岡,0-1,神戸,太宰府,330,
203,1997,サテライトリーグ Ｃグループ,第１０節第１日,05/11(日),14:01,京都,5-0,Ｃ大阪,八日市Ｇ,141,
204,1997,サテライトリーグ Ｃグループ,第１０節第１日,05/11(日),15:00,広島,2-4,Ｇ大阪,広島ス,316,
205,1997,Ｊ１ １ｓｔ,第９節第１日,05/17(土),14:05,平塚,2-1,福岡,平塚,7117,
206,1997,Ｊ１ １ｓｔ,第９節第１日,05/17(土),15:00,市原,3-0,Ｃ大阪,市原,4573,
207,1997,Ｊ１ １ｓｔ,第９節第１日,05/17(土),15:01,横浜M,4-2,広島,三ツ沢,7126,
208,1997,Ｊ１ １ｓｔ,第９節第１日,05/17(土),15:02,柏,2-1,磐田,柏,8030,
209,1997,Ｊ１ １ｓｔ,第９節第１日,05/17(土),16:03,Ｖ川崎,1-1(PK2-3),鹿島,国立,30211,
210,1997,Ｊ１ １ｓｔ,第９節第１日,05/17(土),16:04,Ｇ大阪,0-1,名古屋,万博,8090,
211,1997,Ｊ１ １ｓｔ,第９節第１日,05/17(土),18:34,京都,0-2,神戸,金沢,6757,
212,1997,Ｊ１ １ｓｔ,第１０節第１日,05/24(土),14:01,Ｃ大阪,0-2,平塚,福井,4130,
213,1997,Ｊ１ １ｓｔ,第１０節第１日,05/24(土),14:04,名古屋,1-0,Ｖ川崎,長良川,18871,
214,1997,Ｊ１ １ｓｔ,第１０節第１日,05/24(土),15:00,神戸,2-3,市原,神戸ユ,4536,
215,1997,Ｊ１ １ｓｔ,第１０節第１日,05/24(土),15:00,福岡,1-3,横浜M,博多球,11078,
216,1997,Ｊ１ １ｓｔ,第１０節第１日,05/24(土),15:04,磐田,2-0,浦和,磐田,11654,
217,1997,Ｊ１ １ｓｔ,第１０節第１日,05/24(土),16:03,横浜Ｆ,2-1,Ｇ大阪,富山,8222,
218,1997,Ｊ１ １ｓｔ,第１０節第１日,05/24(土),16:04,広島,1-0,清水,愛媛陸,6524,
219,1997,Ｊ１ １ｓｔ,第１０節第１日,05/24(土),19:04,鹿島,4-0,京都,カシマ,15805,
220,1997,Ｊ１ １ｓｔ,第１１節第１日,05/28(水),19:00,Ｖ川崎,0-4,横浜Ｆ,等々力,9006,
221,1997,Ｊ１ １ｓｔ,第１１節第１日,05/28(水),19:00,横浜M,3-2,Ｃ大阪,三ツ沢,6398,
222,1997,Ｊ１ １ｓｔ,第１１節第１日,05/28(水),19:00,Ｇ大阪,3-1,磐田,万博,5716,
223,1997,Ｊ１ １ｓｔ,第１１節第１日,05/28(水),19:02,清水,1-0,福岡,日本平,6177,
224,1997,Ｊ１ １ｓｔ,第１１節第１日,05/28(水),19:03,浦和,3-2,柏,駒場,18021,
