,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance
3,2001/05/19,10,4,16:03,長居,Ｃ大阪,0,2,横浜FM,スカイパーフェクＴＶ！,16607
4,2001/05/19,10,5,16:04,カシマ,鹿島,3,2,柏,ＢＳ／フジテレビ（録）,36365
5,2001/05/19,10,6,18:34,東京,Ｆ東京,1,2,福岡,東京メトロポリタンテレビ（録）／ＢＳ－ｉ,13792
6,2001/05/19,10,7,19:04,駒場,浦和,1,2,Ｇ大阪,ＢＳ／テレビ埼玉,19186
7,2001/07/11,10,8,19:04,瑞穂陸,名古屋,2,1,清水,,13526
0,2001/06/16,11,1,14:04,札幌厚別,札幌,2,2,名古屋,北海道放送／Ｊスカイスポーツ,19525
1,2001/06/16,11,2,15:03,神戸ユ,神戸,1,0,広島,スカイパーフェクＴＶ！,9168
2,2001/06/16,11,3,15:04,柏の葉,柏,0,1,磐田,ＮＨＫ総合,17788
3,2001/06/16,11,4,15:04,横浜国,横浜FM,0,2,Ｆ東京,ＢＳ（録）／テレビ神奈川（録）,14600
4,2001/06/16,11,5,16:04,日本平,清水,1,0,浦和,テレビ静岡／ＢＳ－ｉ,17817
5,2001/06/16,11,6,19:00,万博,Ｇ大阪,3,4,市原,スカイパーフェクＴＶ！（録）,7104
6,2001/06/16,11,7,19:01,東京,東京Ｖ,2,1,Ｃ大阪,日本テレビ（録）,10924
7,2001/06/16,11,8,19:04,博多球,福岡,0,2,鹿島,ＢＳ／ＲＫＢ毎日放送（録）,18241
0,2001/06/23,12,1,15:33,磐田,磐田,2,1,福岡,静岡放送／ＢＳ,13046
1,2001/06/23,12,2,19:01,東京,東京Ｖ,1,0,神戸,日本テレビ（録）,13797
2,2001/06/23,12,3,19:01,広島ビ,広島,2,3,Ｇ大阪,スカイパーフェクＴＶ！（録）,6619
3,2001/06/23,12,4,19:02,瑞穂陸,名古屋,1,4,柏,ＢＳ（録）,19805
4,2001/06/23,12,5,19:03,カシマ,鹿島,2,0,横浜FM,Ｊスカイスポーツ,24218
5,2001/06/23,12,6,19:04,駒場,浦和,2,0,札幌,テレビ埼玉／ＢＳ－ｉ,19277
6,2001/06/23,12,7,19:04,長居,Ｃ大阪,1,2,Ｆ東京,読売テレビ（録）／スカイパーフェクＴＶ！,8538
7,2001/06/23,12,8,19:05,市原,市原,2,0,清水,千葉テレビ／ＢＳ,8152
0,2001/07/07,13,1,14:04,札幌厚別,札幌,2,3,市原,北海道文化放送,16728
1,2001/07/07,13,2,15:34,日本平,清水,5,1,広島,テレビ静岡／ＢＳ,10372
2,2001/07/07,13,3,19:00,万博,Ｇ大阪,5,0,東京Ｖ,読売テレビ（録）,9149
3,2001/07/07,13,4,19:00,神戸ユ,神戸,3,1,Ｃ大阪,スカイパーフェクＴＶ！（録）,12022
4,2001/07/07,13,5,19:04,国立,柏,3,2,浦和,千葉テレビ,32215
5,2001/07/07,13,6,19:04,東京,Ｆ東京,2,0,鹿島,東京メトロポリタンテレビ／スカイパーフェクＴＶ！,48521
6,2001/07/07,13,7,19:04,横浜国,横浜FM,1,2,磐田,テレビ神奈川／ＢＳ,41593
7,2001/07/07,13,8,19:04,博多球,福岡,0,4,名古屋,Ｊスカイスポーツ,21281
0,2001/07/14,14,1,19:00,瑞穂陸,名古屋,3,2,広島,東海テレビ（録）／ＢＳ（録）,22798
1,2001/07/14,14,2,19:01,長居,Ｃ大阪,3,2,柏,スカイパーフェクＴＶ！（録）,13359
2,2001/07/14,14,3,19:01,博多球,福岡,0,2,札幌,福岡放送（録）,12106
3,2001/07/14,14,4,19:03,カシマ,鹿島,2,0,神戸,Ｊスカイスポーツ,19255
4,2001/07/14,14,5,19:03,磐田,磐田,2,1,東京Ｖ,静岡放送（録）,16032
5,2001/07/14,14,6,19:04,駒場,浦和,3,1,市原,テレビ埼玉／ＢＳ,19978
6,2001/07/14,14,7,19:04,東京,Ｆ東京,0,2,Ｇ大阪,東京メトロポリタンテレビ（録）／スカイパーフェクＴＶ！,20553
7,2001/07/14,14,8,19:04,横浜国,横浜FM,1,3,清水,テレビ神奈川／ＢＳ－ｉ,18129
0,2001/07/21,15,1,19:00,日本平,清水,1,2,Ｆ東京,スカイパーフェクＴＶ！（録）,15093
1,2001/07/21,15,2,19:01,万博,Ｇ大阪,3,1,鹿島,ＢＳ（録）,21598
2,2001/07/21,15,3,19:03,札幌ド,札幌,1,1,横浜FM,テレビ北海道,39319
3,2001/07/21,15,4,19:04,市原,市原,4,2,Ｃ大阪,千葉テレビ,7585
4,2001/07/21,15,5,19:04,柏の葉,柏,1,0,福岡,ＢＳ－ｉ,9021
5,2001/07/21,15,6,19:04,東京,東京Ｖ,0,3,名古屋,日本テレビ（録）／ＢＳ,43335
6,2001/07/21,15,7,19:04,神戸ユ,神戸,2,2,磐田,サンテレビ／スカイパーフェクＴＶ！,24287
7,2001/07/21,15,8,19:04,広島ビ,広島,1,3,浦和,Ｊスカイスポーツ,18630
