,group,match_date,start_time,section_no,home_team,home_goal,away_goal,match_status,away_team,stadium,match_index_in_section
77,H,2021-07-05,01:00:00,4,G大阪,1,1,試合終了,チェンライU,ロコモティフ,1
78,I,2021-07-05,23:00:00,4,北京FC,0,3,試合終了,大邱,ブニョドコル,1
79,J,2021-07-03,23:00:00,4,傑志,1,0,試合終了,広州FC,ブリーラム,1
80,A,2021-04-28,04:00:00,5,アルアハリ,0,1,試合終了,イスティクロル,キングファハド,0
81,B,2021-04-27,00:00:00,5,トラクター,0,0,試合終了,パフタコール,シャールジャ,0
82,C,2021-04-28,02:45:00,5,アルショルタ,2,1,試合終了,アルドゥハイル,KASC,0
83,D,2021-04-27,03:00:00,5,アルナスル,1,2,試合終了,アルワフダート,キングサウード,0
84,E,2021-04-26,23:30:00,5,アルワフダ,1,0,試合終了,ペルセポリス,PJN,0
85,F,2021-07-08,19:00:00,5,カヤFC,0,1,試合終了,パトゥムユナイテッド,パトゥムターニー,0
86,G,2021-07-04,19:00:00,5,ラーチャブリー,0,0,試合終了,浦項,ラジャマンガラ,0
87,H,2021-07-07,23:00:00,5,G大阪,8,1,試合終了,タンピネス,ブニョドコル,0
88,I,2021-07-08,23:00:00,5,北京FC,2,3,試合終了,ユナイテッドシティ,ロコモティフ,0
89,J,2021-07-06,19:00:00,5,C大阪,5,0,試合終了,広州FC,ブリーラム,0
90,A,2021-04-28,04:00:00,5,AGMK,0,3,試合終了,アルヒラル,プリンスファイサルビンファハド,1
91,B,2021-04-27,03:00:00,5,エアフォース,2,3,試合終了,シャールジャFC,シャールジャ,1
92,C,2021-04-28,05:15:00,5,アルアハリ,0,0,試合終了,エステグラル,KASC,1
93,D,2021-04-27,03:00:00,5,フーラード,0,1,試合終了,アルサッド,プリンスファイサルビンファハド,1
94,E,2021-04-27,02:00:00,5,アルラーヤン,1,1,試合終了,ゴア,PJN,1
95,F,2021-07-08,23:00:00,5,蔚山,3,0,試合終了,ベトテル,パトゥムターニー,1
96,G,2021-07-04,23:00:00,5,名古屋,2,1,試合終了,JDT,ラジャマンガラ,1
97,H,2021-07-08,01:00:00,5,チェンライU,1,3,試合終了,全北現代,ロコモティフ,1
98,I,2021-07-09,01:00:00,5,大邱,1,3,試合終了,川崎F,ブニョドコル,1
99,J,2021-07-06,23:00:00,5,ポートFC,1,1,試合終了,傑志,ブリーラム,1
100,A,2021-05-01,04:00:00,6,イスティクロル,1,2,試合終了,AGMK,キングファハド,0
101,B,2021-04-30,00:00:00,6,パフタコール,1,0,試合終了,エアフォース,シャールジャ,0
102,C,2021-05-01,02:45:00,6,エステグラル,1,0,試合終了,アルショルタ,KASC,0
103,D,2021-04-30,03:00:00,6,アルワフダート,1,0,試合終了,フーラード,プリンスファイサルビンファハド,0
104,E,2021-04-29,23:30:00,6,ペルセポリス,4,2,試合終了,アルラーヤン,PJN,0
105,F,2021-07-11,19:00:00,6,ベトテル,,,試合前,カヤFC,パトゥムターニー,0
106,G,2021-07-07,19:00:00,6,浦項,1,1,試合終了,名古屋,ラジャマンガラ,0
107,H,2021-07-10,23:00:00,6,タンピネス,,,試合前,チェンライU,ロコモティフ,0
108,I,2021-07-11,21:00:00,6,ユナイテッドシティ,,,試合前,大邱,ブニョドコル,0
109,J,2021-07-09,19:00:00,6,傑志,0,0,試合終了,C大阪,ブリーラム,0
110,A,2021-05-01,04:00:00,6,アルヒラル,0,2,試合終了,アルアハリ,プリンスファイサルビンファハド,1
111,B,2021-04-30,03:00:00,6,シャールジャFC,0,2,試合終了,トラクター,シャールジャ,1
112,C,2021-05-01,05:15:00,6,アルドゥハイル,1,1,試合終了,アルアハリ,KASC,1
113,D,2021-04-30,03:00:00,6,アルサッド,1,2,試合終了,アルナスル,キングサウード,1
114,E,2021-04-30,02:00:00,6,ゴア,0,2,試合終了,アルワフダ,PJN,1
115,F,2021-07-11,23:00:00,6,パトゥムユナイテッド,,,試合前,蔚山,パトゥムターニー,1
116,G,2021-07-07,23:00:00,6,JDT,0,0,試合終了,ラーチャブリー,ラジャマンガラ,1
117,H,2021-07-10,23:00:00,6,全北現代,,,試合前,G大阪,ブニョドコル,1
118,I,2021-07-11,21:00:00,6,川崎F,,,試合前,北京FC,ロコモティフ,1
119,J,2021-07-09,23:00:00,6,広州FC,,,試合前,ポートFC,ブリーラム,1
