,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance,home_pk,away_pk
4,1994/11/02,17,5,19:03,等々力,Ｖ川崎,0,1,広島,,15554,,
5,1994/11/02,17,6,19:03,磐田,磐田,2,1,清水,,15377,,
0,1994/11/05,18,1,15:01,カシマ,鹿島,1,2,Ｇ大阪,,15603,,
1,1994/11/05,18,2,15:02,三ツ沢,横浜Ｆ,3,0,平塚,,13890,,
2,1994/11/05,18,3,15:03,神戸ユ,浦和,2,0,磐田,,23195,,
3,1994/11/05,18,4,15:03,市原,市原,1,0,清水,,14331,,
4,1994/11/05,18,5,18:04,愛媛陸,広島,2,1,横浜M,,17105,,
5,1994/11/05,18,6,19:04,等々力,Ｖ川崎,2,1,名古屋,,15547,,
0,1994/11/09,19,1,18:33,長良川,名古屋,1,6,横浜M,,23072,,
1,1994/11/09,19,2,19:01,草薙陸,清水,2,1,広島,,19002,,
2,1994/11/09,19,3,19:03,平塚,平塚,2,0,浦和,,15013,,
3,1994/11/09,19,4,19:03,磐田,磐田,1,0,市原,,15357,,
4,1994/11/09,19,5,19:04,鴨池,横浜Ｆ,0,2,鹿島,,13269,,
5,1994/11/09,19,6,19:06,万博,Ｇ大阪,1,3,Ｖ川崎,,19778,,
0,1994/11/12,20,1,14:32,大宮,浦和,2,4,鹿島,,9962,,
1,1994/11/12,20,2,15:02,三ツ沢,横浜M,0,1,Ｇ大阪,,12821,,
2,1994/11/12,20,3,15:02,平塚,平塚,1,0,磐田,,15604,,
3,1994/11/12,20,4,15:03,長良川,名古屋,0,2,清水,,23774,,
4,1994/11/12,20,5,15:04,広島ス,広島,1,0,市原,,11765,,
5,1994/11/12,20,6,19:03,等々力,Ｖ川崎,2,0,横浜Ｆ,,15533,,
0,1994/11/16,21,1,19:01,三ツ沢,横浜M,2,0,横浜Ｆ,,13102,,
1,1994/11/16,21,2,19:01,草薙陸,清水,1,0,Ｇ大阪,,17090,,
2,1994/11/16,21,3,19:03,カシマ,鹿島,3,1,平塚,,15457,,
3,1994/11/16,21,4,19:03,市原,市原,2,0,名古屋,,14106,,
4,1994/11/16,21,5,19:03,国立,Ｖ川崎,2,1,浦和,,52480,,
5,1994/11/16,21,6,19:04,広島ス,広島,0,0,磐田,,8523,7,6
0,1994/11/19,22,1,15:00,磐田,磐田,3,2,鹿島,,15346,,
1,1994/11/19,22,2,15:01,平塚,平塚,2,1,Ｖ川崎,,15621,,
2,1994/11/19,22,3,15:02,三ツ沢,横浜Ｆ,0,2,清水,,13714,,
3,1994/11/19,22,4,15:03,瑞穂陸,名古屋,1,0,広島,,21506,,
4,1994/11/19,22,5,15:04,富山,浦和,3,6,横浜M,,22838,,
5,1994/11/19,22,6,15:05,万博,Ｇ大阪,1,2,市原,,18417,,
